('O', 'T', 'H', 'E', 'M', 'D', 'L', 'P', 'G') ('A', 'S', 'I', 'N', 'C', 'U', 'F', 'R', 'W') 3369482133
('I', 'N', 'H', 'E', 'L', 'D', 'C', 'U', 'F') ('O', 'A', 'S', 'T', 'P', 'R', 'W', 'M', 'G') 3264111973
('A', 'T', 'H', 'E', 'G', 'C', 'F', 'W', 'U') ('O', 'S', 'I', 'N', 'D', 'R', 'P', 'L', 'M') 3264089544
('I', 'E', 'S', 'T', 'U', 'C', 'F', 'P', 'G') ('O', 'R', 'A', 'N', 'L', 'D', 'W', 'H', 'M') 3264084702
('T', 'S', 'E', 'R', 'D', 'U', 'F', 'L', 'W') ('A', 'O', 'I', 'N', 'G', 'C', 'P', 'M', 'H') 3264062137
('I', 'T', 'H', 'E', 'C', 'D', 'M', 'U', 'F') ('O', 'S', 'A', 'N', 'L', 'G', 'P', 'R', 'W') 3264048237
('O', 'T', 'E', 'S', 'M', 'F', 'G', 'C', 'P') ('A', 'R', 'I', 'N', 'L', 'D', 'W', 'H', 'U') 3264000890
('S', 'T', 'H', 'E', 'G', 'L', 'M', 'U', 'F') ('A', 'O', 'I', 'N', 'D', 'R', 'W', 'C', 'P') 3263995622
('O', 'A', 'T', 'E', 'F', 'M', 'P', 'U', 'G') ('R', 'S', 'I', 'N', 'D', 'C', 'W', 'H', 'L') 3263935127
('A', 'S', 'T', 'E', 'D', 'C', 'M', 'W', 'G') ('O', 'R', 'I', 'N', 'L', 'U', 'F', 'H', 'P') 3263902015
('E', 'S', 'T', 'H', 'D', 'M', 'P', 'L', 'F') ('A', 'O', 'I', 'N', 'G', 'U', 'C', 'R', 'W') 3263822049
('O', 'A', 'T', 'E', 'F', 'M', 'C', 'W', 'G') ('R', 'S', 'I', 'N', 'D', 'U', 'P', 'L', 'H') 3263767895
('A', 'O', 'H', 'E', 'C', 'L', 'F', 'W', 'U') ('S', 'T', 'I', 'N', 'G', 'D', 'P', 'R', 'M') 3263715085
('E', 'I', 'T', 'H', 'U', 'C', 'P', 'L', 'F') ('O', 'S', 'A', 'N', 'M', 'D', 'G', 'R', 'W') 3263625427
('A', 'S', 'T', 'E', 'D', 'C', 'P', 'F', 'W') ('O', 'R', 'I', 'N', 'L', 'U', 'G', 'H', 'M') 3263589830
('I', 'O', 'H', 'E', 'D', 'L', 'M', 'U', 'F') ('S', 'A', 'N', 'T', 'G', 'R', 'W', 'C', 'P') 3263589079
('I', 'T', 'E', 'R', 'P', 'U', 'W', 'L', 'G') ('O', 'S', 'A', 'N', 'C', 'D', 'F', 'M', 'H') 3263583914
('O', 'I', 'T', 'E', 'U', 'L', 'W', 'G', 'P') ('S', 'R', 'A', 'N', 'C', 'D', 'F', 'M', 'H') 3263517238
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'F', 'W') ('S', 'T', 'I', 'N', 'C', 'H', 'P', 'L', 'M') 3263437749
('S', 'T', 'H', 'E', 'G', 'D', 'L', 'U', 'F') ('A', 'O', 'I', 'N', 'C', 'R', 'W', 'M', 'P') 3263282608
('I', 'T', 'H', 'E', 'C', 'D', 'P', 'U', 'G') ('O', 'S', 'A', 'N', 'R', 'F', 'W', 'L', 'M') 3263257885
('R', 'T', 'H', 'E', 'M', 'D', 'L', 'U', 'G') ('O', 'A', 'I', 'N', 'F', 'C', 'P', 'S', 'W') 3263202322
('I', 'T', 'E', 'R', 'G', 'U', 'W', 'D', 'C') ('O', 'S', 'A', 'N', 'L', 'F', 'P', 'M', 'H') 3263182641
('A', 'O', 'E', 'S', 'D', 'F', 'G', 'M', 'C') ('R', 'T', 'I', 'N', 'P', 'H', 'U', 'L', 'W') 3263148099
('T', 'S', 'E', 'R', 'D', 'W', 'G', 'C', 'M') ('A', 'O', 'I', 'N', 'L', 'U', 'F', 'H', 'P') 3263067364
('I', 'T', 'E', 'R', 'P', 'U', 'W', 'L', 'M') ('O', 'S', 'A', 'N', 'C', 'D', 'G', 'H', 'F') 3263014315
('I', 'T', 'H', 'E', 'C', 'D', 'M', 'U', 'G') ('O', 'S', 'A', 'N', 'L', 'F', 'P', 'R', 'W') 3262995014
('O', 'S', 'E', 'R', 'D', 'U', 'W', 'M', 'L') ('A', 'T', 'I', 'N', 'G', 'H', 'P', 'C', 'F') 3262917499
('T', 'S', 'E', 'R', 'D', 'U', 'G', 'C', 'F') ('A', 'O', 'I', 'N', 'L', 'M', 'W', 'H', 'P') 3262835813
('A', 'I', 'H', 'E', 'C', 'D', 'P', 'G', 'U') ('O', 'N', 'S', 'T', 'F', 'R', 'M', 'L', 'W') 3262810575
('E', 'S', 'T', 'H', 'D', 'P', 'G', 'L', 'F') ('O', 'A', 'I', 'N', 'U', 'R', 'W', 'C', 'M') 3262534057
('A', 'O', 'E', 'S', 'L', 'U', 'W', 'C', 'G') ('R', 'T', 'I', 'N', 'D', 'H', 'P', 'M', 'F') 3262517994
('O', 'N', 'H', 'E', 'L', 'D', 'C', 'U', 'P') ('I', 'A', 'S', 'T', 'F', 'R', 'W', 'M', 'G') 3262502990
('I', 'S', 'T', 'E', 'C', 'D', 'P', 'F', 'G') ('O', 'R', 'A', 'N', 'L', 'U', 'W', 'H', 'M') 3262461386
('A', 'T', 'H', 'E', 'M', 'L', 'D', 'W', 'F') ('O', 'S', 'I', 'N', 'C', 'U', 'G', 'R', 'P') 3262390336
('O', 'E', 'S', 'T', 'U', 'D', 'G', 'L', 'W') ('A', 'R', 'I', 'N', 'C', 'P', 'F', 'M', 'H') 3262383258
('S', 'T', 'H', 'E', 'P', 'D', 'L', 'U', 'F') ('A', 'O', 'I', 'N', 'G', 'R', 'W', 'M', 'C') 3262382414
('S', 'T', 'E', 'R', 'M', 'U', 'W', 'L', 'G') ('A', 'O', 'I', 'N', 'D', 'F', 'C', 'H', 'P') 3262374813
('T', 'S', 'E', 'R', 'D', 'P', 'W', 'C', 'L') ('A', 'O', 'I', 'N', 'G', 'U', 'F', 'M', 'H') 3262354507
('E', 'S', 'T', 'H', 'L', 'C', 'M', 'P', 'F') ('A', 'O', 'I', 'N', 'D', 'U', 'G', 'R', 'W') 3262309752
('I', 'T', 'E', 'R', 'P', 'U', 'W', 'C', 'F') ('O', 'S', 'A', 'N', 'L', 'D', 'G', 'H', 'M') 3262246289
('O', 'S', 'H', 'E', 'D', 'L', 'M', 'C', 'F') ('A', 'T', 'I', 'N', 'G', 'U', 'P', 'R', 'W') 3262217602
('A', 'O', 'H', 'E', 'D', 'L', 'F', 'W', 'G') ('T', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'M') 3262170740
('A', 'T', 'E', 'R', 'P', 'U', 'W', 'L', 'M') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'H', 'F') 3262097190
('A', 'T', 'H', 'E', 'P', 'D', 'F', 'W', 'G') ('O', 'S', 'I', 'N', 'R', 'U', 'C', 'L', 'M') 3261853118
('A', 'T', 'E', 'R', 'M', 'P', 'G', 'L', 'W') ('O', 'S', 'I', 'N', 'D', 'U', 'C', 'H', 'F') 3261837569
('O', 'T', 'E', 'S', 'M', 'W', 'G', 'C', 'P') ('A', 'R', 'I', 'N', 'L', 'D', 'U', 'H', 'F') 3261801233
('A', 'S', 'E', 'R', 'D', 'U', 'F', 'C', 'P') ('O', 'T', 'I', 'N', 'G', 'H', 'M', 'L', 'W') 3261741648
('A', 'T', 'E', 'S', 'M', 'U', 'W', 'C', 'P') ('O', 'R', 'I', 'N', 'L', 'D', 'G', 'H', 'F') 3261728937
('A', 'O', 'E', 'R', 'D', 'U', 'P', 'M', 'C') ('S', 'T', 'I', 'N', 'G', 'H', 'F', 'L', 'W') 3261719898
('A', 'I', 'H', 'E', 'C', 'L', 'F', 'W', 'U') ('O', 'N', 'S', 'T', 'R', 'D', 'M', 'P', 'G') 3261708570
('I', 'T', 'H', 'E', 'C', 'D', 'M', 'P', 'U') ('O', 'S', 'A', 'N', 'L', 'G', 'F', 'R', 'W') 3261701245
('I', 'T', 'E', 'R', 'P', 'U', 'G', 'L', 'M') ('O', 'S', 'A', 'N', 'C', 'D', 'W', 'H', 'F') 3261668209
('I', 'T', 'E', 'R', 'M', 'F', 'G', 'L', 'W') ('O', 'S', 'A', 'N', 'D', 'U', 'C', 'H', 'P') 3261657646
('I', 'T', 'E', 'R', 'M', 'U', 'W', 'C', 'G') ('O', 'S', 'A', 'N', 'L', 'D', 'F', 'H', 'P') 3261638462
('I', 'T', 'E', 'R', 'P', 'U', 'F', 'C', 'G') ('O', 'S', 'A', 'N', 'L', 'D', 'W', 'H', 'M') 3261635728
('R', 'T', 'H', 'E', 'M', 'D', 'L', 'F', 'G') ('A', 'O', 'I', 'N', 'S', 'U', 'W', 'C', 'P') 3261627970
('I', 'A', 'R', 'E', 'F', 'D', 'C', 'U', 'G') ('S', 'T', 'O', 'N', 'W', 'H', 'P', 'L', 'M') 3261560711
('O', 'A', 'T', 'E', 'F', 'D', 'P', 'U', 'W') ('S', 'R', 'I', 'N', 'L', 'G', 'C', 'H', 'M') 3261343800
('A', 'O', 'H', 'E', 'D', 'L', 'C', 'F', 'W') ('S', 'T', 'I', 'N', 'G', 'U', 'P', 'R', 'M') 3261204456
('A', 'N', 'H', 'E', 'L', 'D', 'M', 'C', 'F') ('O', 'I', 'S', 'T', 'U', 'R', 'W', 'G', 'P') 3261182985
('I', 'T', 'E', 'R', 'P', 'F', 'G', 'D', 'C') ('O', 'S', 'A', 'N', 'L', 'U', 'W', 'H', 'M') 3261180162
('O', 'T', 'E', 'S', 'P', 'U', 'G', 'L', 'M') ('A', 'R', 'I', 'N', 'C', 'D', 'W', 'H', 'F') 3261157967
('I', 'T', 'H', 'E', 'L', 'D', 'M', 'P', 'G') ('O', 'S', 'A', 'N', 'C', 'U', 'F', 'R', 'W') 3261115446
('I', 'T', 'H', 'E', 'M', 'D', 'P', 'U', 'F') ('O', 'S', 'A', 'N', 'L', 'C', 'G', 'R', 'W') 3261090257
('A', 'N', 'H', 'E', 'C', 'D', 'M', 'U', 'F') ('O', 'I', 'S', 'T', 'P', 'R', 'W', 'L', 'G') 3261061478
('I', 'T', 'H', 'E', 'M', 'L', 'F', 'W', 'U') ('O', 'S', 'A', 'N', 'R', 'D', 'G', 'C', 'P') 3261011934
('O', 'E', 'S', 'T', 'W', 'D', 'C', 'L', 'G') ('A', 'R', 'I', 'N', 'M', 'U', 'F', 'H', 'P') 3260959393
('O', 'T', 'E', 'S', 'M', 'W', 'P', 'L', 'G') ('A', 'R', 'I', 'N', 'D', 'U', 'C', 'H', 'F') 3260886516
('O', 'T', 'E', 'R', 'P', 'U', 'W', 'D', 'M') ('A', 'S', 'I', 'N', 'L', 'G', 'C', 'H', 'F') 3260777182
('O', 'E', 'T', 'H', 'U', 'C', 'W', 'D', 'L') ('A', 'S', 'I', 'N', 'G', 'P', 'F', 'R', 'M') 3260770550
('I', 'N', 'H', 'E', 'C', 'L', 'M', 'U', 'F') ('O', 'A', 'S', 'T', 'P', 'R', 'W', 'D', 'G') 3260742832
('O', 'S', 'E', 'R', 'D', 'U', 'F', 'L', 'G') ('A', 'T', 'I', 'N', 'W', 'H', 'P', 'M', 'C') 3260650455
('A', 'S', 'E', 'R', 'L', 'U', 'G', 'D', 'C') ('O', 'T', 'I', 'N', 'W', 'H', 'P', 'M', 'F') 3260484064
('A', 'O', 'H', 'E', 'G', 'D', 'P', 'U', 'W') ('T', 'S', 'I', 'N', 'L', 'C', 'F', 'R', 'M') 3260265173
('O', 'A', 'H', 'E', 'F', 'L', 'C', 'U', 'P') ('S', 'T', 'I', 'N', 'G', 'D', 'M', 'R', 'W') 3260206469
('O', 'T', 'I', 'N', 'M', 'D', 'P', 'L', 'C') ('A', 'S', 'R', 'E', 'G', 'H', 'F', 'U', 'W') 3260128895
('A', 'I', 'H', 'E', 'P', 'L', 'F', 'W', 'U') ('O', 'N', 'S', 'T', 'R', 'D', 'C', 'G', 'M') 3260124438
('A', 'O', 'E', 'S', 'D', 'U', 'F', 'M', 'C') ('R', 'T', 'I', 'N', 'G', 'H', 'P', 'L', 'W') 3260096001
('O', 'E', 'T', 'H', 'U', 'C', 'W', 'D', 'F') ('A', 'S', 'I', 'N', 'L', 'G', 'P', 'R', 'M') 3259952064
('S', 'T', 'E', 'R', 'P', 'U', 'W', 'C', 'L') ('A', 'O', 'I', 'N', 'D', 'G', 'F', 'M', 'H') 3259926522
('A', 'I', 'R', 'E', 'P', 'D', 'C', 'U', 'F') ('S', 'T', 'O', 'N', 'W', 'H', 'G', 'L', 'M') 3259914840
('A', 'E', 'I', 'N', 'U', 'D', 'P', 'M', 'F') ('O', 'R', 'S', 'T', 'H', 'C', 'G', 'L', 'W') 3259870671
('O', 'S', 'H', 'E', 'D', 'L', 'M', 'U', 'G') ('A', 'T', 'I', 'N', 'P', 'R', 'W', 'C', 'F') 3259739713
('A', 'T', 'H', 'E', 'P', 'L', 'F', 'W', 'G') ('O', 'S', 'I', 'N', 'D', 'U', 'C', 'R', 'M') 3259704089
('I', 'T', 'E', 'R', 'M', 'U', 'W', 'D', 'F') ('O', 'S', 'A', 'N', 'C', 'G', 'P', 'L', 'H') 3259638192
('A', 'T', 'E', 'R', 'M', 'F', 'W', 'D', 'C') ('O', 'S', 'I', 'N', 'L', 'U', 'G', 'H', 'P') 3259582209
('A', 'O', 'H', 'E', 'D', 'M', 'P', 'U', 'F') ('S', 'T', 'I', 'N', 'G', 'R', 'W', 'L', 'C') 3259578974
('A', 'O', 'H', 'E', 'D', 'L', 'C', 'W', 'P') ('S', 'T', 'I', 'N', 'G', 'U', 'F', 'R', 'M') 3259488481
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'P', 'G') ('R', 'T', 'I', 'N', 'C', 'H', 'F', 'L', 'M') 3259416047
('O', 'T', 'H', 'E', 'W', 'L', 'M', 'P', 'G') ('A', 'S', 'I', 'N', 'D', 'C', 'U', 'R', 'F') 3259402606
('T', 'S', 'E', 'R', 'D', 'P', 'W', 'L', 'M') ('A', 'O', 'I', 'N', 'G', 'U', 'C', 'H', 'F') 3259395852
('A', 'T', 'H', 'E', 'P', 'L', 'M', 'W', 'U') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'R', 'F') 3259381758
('E', 'R', 'T', 'H', 'L', 'C', 'G', 'M', 'F') ('A', 'O', 'I', 'N', 'D', 'U', 'P', 'S', 'W') 3259322683
('O', 'T', 'E', 'S', 'M', 'W', 'G', 'D', 'P') ('A', 'R', 'I', 'N', 'L', 'U', 'C', 'H', 'F') 3259313660
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'M', 'F') ('S', 'T', 'I', 'N', 'W', 'H', 'P', 'L', 'C') 3259297743
('O', 'N', 'H', 'E', 'L', 'D', 'C', 'F', 'P') ('I', 'A', 'S', 'T', 'U', 'R', 'W', 'M', 'G') 3259283938
('A', 'S', 'H', 'E', 'C', 'L', 'M', 'U', 'F') ('O', 'T', 'I', 'N', 'G', 'D', 'P', 'R', 'W') 3259256389
('O', 'T', 'E', 'R', 'M', 'P', 'G', 'D', 'W') ('A', 'S', 'I', 'N', 'L', 'U', 'C', 'H', 'F') 3259247759
('O', 'T', 'E', 'R', 'F', 'U', 'G', 'D', 'C') ('A', 'S', 'I', 'N', 'L', 'P', 'W', 'H', 'M') 3259240262
('E', 'S', 'T', 'H', 'C', 'P', 'G', 'L', 'M') ('A', 'O', 'I', 'N', 'D', 'U', 'F', 'R', 'W') 3259191255
('O', 'I', 'T', 'E', 'U', 'C', 'P', 'F', 'G') ('S', 'R', 'A', 'N', 'L', 'D', 'W', 'H', 'M') 3259185695
('I', 'N', 'H', 'E', 'L', 'D', 'M', 'W', 'U') ('O', 'A', 'S', 'T', 'F', 'R', 'G', 'C', 'P') 3259113287
('O', 'S', 'H', 'E', 'D', 'L', 'M', 'C', 'U') ('A', 'T', 'I', 'N', 'G', 'R', 'W', 'F', 'P') 3259061517
('O', 'E', 'I', 'N', 'U', 'C', 'P', 'L', 'W') ('A', 'R', 'S', 'T', 'H', 'D', 'F', 'M', 'G') 3258963801
('O', 'T', 'E', 'R', 'P', 'U', 'G', 'C', 'F') ('A', 'S', 'I', 'N', 'L', 'D', 'W', 'H', 'M') 3258958826
('A', 'O', 'R', 'E', 'D', 'L', 'M', 'U', 'W') ('S', 'T', 'I', 'N', 'G', 'H', 'P', 'F', 'C') 3258923986
('A', 'S', 'E', 'R', 'D', 'U', 'G', 'C', 'M') ('O', 'T', 'I', 'N', 'W', 'H', 'P', 'L', 'F') 3258850405
('O', 'N', 'H', 'E', 'L', 'D', 'C', 'U', 'F') ('A', 'I', 'S', 'T', 'P', 'R', 'W', 'M', 'G') 3258805712
('A', 'N', 'H', 'E', 'L', 'D', 'C', 'F', 'P') ('O', 'I', 'S', 'T', 'U', 'R', 'W', 'M', 'G') 3258754001
('O', 'A', 'H', 'E', 'F', 'D', 'P', 'U', 'W') ('S', 'T', 'I', 'N', 'G', 'R', 'M', 'L', 'C') 3258741536
('I', 'T', 'E', 'R', 'M', 'U', 'F', 'D', 'G') ('O', 'S', 'A', 'N', 'L', 'C', 'W', 'H', 'P') 3258730855
('A', 'O', 'H', 'E', 'D', 'M', 'P', 'U', 'G') ('T', 'S', 'I', 'N', 'L', 'C', 'F', 'R', 'W') 3258636939
('I', 'T', 'E', 'R', 'M', 'F', 'G', 'L', 'C') ('O', 'S', 'A', 'N', 'D', 'U', 'W', 'H', 'P') 3258610208
('I', 'T', 'H', 'E', 'C', 'L', 'F', 'W', 'U') ('O', 'S', 'A', 'N', 'D', 'G', 'P', 'R', 'M') 3258533198
('I', 'T', 'H', 'E', 'M', 'D', 'F', 'G', 'U') ('O', 'S', 'A', 'N', 'L', 'C', 'P', 'R', 'W') 3258478380
('O', 'T', 'E', 'R', 'M', 'U', 'G', 'D', 'L') ('A', 'S', 'I', 'N', 'C', 'P', 'W', 'H', 'F') 3258477340
('I', 'O', 'H', 'E', 'D', 'L', 'C', 'G', 'P') ('S', 'A', 'N', 'T', 'U', 'R', 'W', 'M', 'F') 3258446016
('O', 'T', 'E', 'R', 'D', 'P', 'G', 'C', 'L') ('A', 'S', 'I', 'N', 'M', 'U', 'W', 'H', 'F') 3258390092
('T', 'S', 'E', 'R', 'D', 'F', 'P', 'L', 'W') ('A', 'O', 'I', 'N', 'G', 'U', 'C', 'H', 'M') 3258325677
('O', 'T', 'E', 'R', 'P', 'U', 'F', 'L', 'W') ('A', 'S', 'I', 'N', 'D', 'G', 'C', 'H', 'M') 3258325072
('E', 'S', 'T', 'H', 'D', 'C', 'P', 'U', 'F') ('A', 'O', 'I', 'N', 'G', 'R', 'W', 'L', 'M') 3258236733
('O', 'A', 'H', 'E', 'F', 'L', 'G', 'U', 'W') ('T', 'S', 'I', 'N', 'D', 'C', 'P', 'R', 'M') 3258200718
('A', 'E', 'S', 'T', 'U', 'D', 'G', 'C', 'P') ('O', 'R', 'I', 'N', 'L', 'F', 'W', 'H', 'M') 3258126876
('E', 'O', 'I', 'N', 'D', 'U', 'W', 'C', 'P') ('A', 'R', 'S', 'T', 'L', 'H', 'F', 'M', 'G') 3258016192
('E', 'T', 'I', 'N', 'W', 'U', 'P', 'L', 'F') ('A', 'S', 'O', 'R', 'C', 'D', 'G', 'H', 'M') 3257835357
('I', 'T', 'E', 'R', 'P', 'U', 'W', 'D', 'C') ('O', 'S', 'A', 'N', 'L', 'F', 'G', 'H', 'M') 3257818434
('A', 'E', 'T', 'O', 'U', 'C', 'W', 'D', 'G') ('R', 'S', 'I', 'N', 'L', 'P', 'F', 'H', 'M') 3257797834
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'M', 'G') ('O', 'S', 'I', 'N', 'D', 'C', 'W', 'H', 'L') 3257747467
('A', 'S', 'T', 'E', 'C', 'D', 'W', 'F', 'U') ('O', 'R', 'I', 'N', 'L', 'G', 'P', 'M', 'H') 3257683590
('A', 'O', 'E', 'R', 'D', 'F', 'G', 'C', 'W') ('S', 'T', 'I', 'N', 'P', 'H', 'U', 'L', 'M') 3257667214
('O', 'S', 'T', 'E', 'D', 'L', 'M', 'P', 'G') ('A', 'R', 'I', 'N', 'C', 'U', 'W', 'H', 'F') 3257554292
('E', 'R', 'T', 'H', 'L', 'C', 'M', 'U', 'F') ('A', 'O', 'I', 'N', 'D', 'G', 'P', 'S', 'W') 3257431579
('E', 'A', 'T', 'O', 'F', 'C', 'P', 'D', 'G') ('S', 'R', 'I', 'N', 'L', 'U', 'W', 'H', 'M') 3257414134
('A', 'O', 'E', 'S', 'D', 'U', 'F', 'L', 'G') ('R', 'T', 'I', 'N', 'W', 'H', 'P', 'M', 'C') 3257411976
('A', 'I', 'H', 'E', 'P', 'C', 'F', 'G', 'U') ('O', 'N', 'S', 'T', 'R', 'D', 'M', 'L', 'W') 3257344948
('I', 'N', 'H', 'E', 'L', 'D', 'M', 'P', 'U') ('O', 'A', 'S', 'T', 'F', 'R', 'W', 'C', 'G') 3257298876
('I', 'T', 'H', 'E', 'L', 'D', 'F', 'W', 'U') ('O', 'S', 'A', 'N', 'C', 'G', 'P', 'R', 'M') 3257283478
('O', 'T', 'H', 'E', 'M', 'L', 'F', 'W', 'U') ('A', 'S', 'I', 'N', 'D', 'G', 'C', 'R', 'P') 3257227063
('I', 'O', 'E', 'A', 'D', 'U', 'W', 'P', 'G') ('R', 'S', 'N', 'T', 'C', 'H', 'F', 'L', 'M') 3257155235
('O', 'T', 'E', 'R', 'M', 'P', 'G', 'C', 'W') ('A', 'S', 'I', 'N', 'L', 'D', 'U', 'H', 'F') 3257035264
('I', 'N', 'H', 'E', 'L', 'D', 'P', 'U', 'F') ('A', 'O', 'S', 'T', 'G', 'R', 'W', 'M', 'C') 3256973636
('A', 'I', 'H', 'E', 'U', 'D', 'F', 'G', 'W') ('O', 'N', 'S', 'T', 'L', 'R', 'M', 'P', 'C') 3256946201
('A', 'E', 'I', 'N', 'W', 'D', 'U', 'C', 'F') ('O', 'R', 'S', 'T', 'L', 'H', 'M', 'P', 'G') 3256917469
('I', 'T', 'H', 'E', 'C', 'D', 'F', 'G', 'U') ('O', 'S', 'A', 'N', 'R', 'P', 'W', 'L', 'M') 3256842220
('I', 'T', 'H', 'E', 'C', 'L', 'M', 'W', 'U') ('O', 'S', 'A', 'N', 'D', 'G', 'P', 'R', 'F') 3256821727
('O', 'N', 'H', 'E', 'L', 'D', 'M', 'U', 'F') ('A', 'I', 'S', 'T', 'P', 'R', 'W', 'C', 'G') 3256809819
('A', 'O', 'H', 'E', 'D', 'L', 'M', 'W', 'G') ('T', 'S', 'I', 'N', 'C', 'U', 'P', 'R', 'F') 3256747528
('A', 'O', 'E', 'S', 'D', 'U', 'W', 'M', 'G') ('R', 'T', 'I', 'N', 'C', 'H', 'P', 'L', 'F') 3256719949
('A', 'O', 'H', 'E', 'D', 'M', 'C', 'U', 'W') ('S', 'T', 'I', 'N', 'G', 'R', 'P', 'L', 'F') 3256686740
('E', 'N', 'T', 'H', 'L', 'D', 'P', 'M', 'F') ('O', 'A', 'I', 'S', 'U', 'R', 'W', 'C', 'G') 3256669692
('A', 'T', 'E', 'R', 'M', 'P', 'G', 'C', 'W') ('O', 'S', 'I', 'N', 'D', 'U', 'F', 'L', 'H') 3256527426
('O', 'E', 'S', 'T', 'F', 'D', 'G', 'M', 'W') ('A', 'R', 'I', 'N', 'L', 'U', 'C', 'H', 'P') 3256510129
('A', 'T', 'E', 'R', 'D', 'G', 'F', 'L', 'W') ('O', 'S', 'I', 'N', 'C', 'U', 'P', 'M', 'H') 3256490160
('E', 'T', 'I', 'N', 'M', 'U', 'W', 'C', 'F') ('A', 'S', 'O', 'R', 'L', 'P', 'G', 'H', 'D') 3256475823
('A', 'T', 'E', 'R', 'M', 'P', 'G', 'L', 'F') ('O', 'S', 'I', 'N', 'D', 'U', 'C', 'H', 'W') 3256459193
('A', 'T', 'E', 'R', 'P', 'U', 'W', 'M', 'F') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'H', 'L') 3256451086
('O', 'T', 'E', 'S', 'F', 'U', 'W', 'C', 'G') ('A', 'R', 'I', 'N', 'L', 'D', 'P', 'M', 'H') 3256449176
('A', 'S', 'T', 'E', 'D', 'C', 'M', 'P', 'G') ('O', 'R', 'I', 'N', 'L', 'U', 'W', 'H', 'F') 3256420500
('A', 'S', 'H', 'E', 'C', 'L', 'D', 'G', 'F') ('O', 'T', 'I', 'N', 'M', 'U', 'P', 'R', 'W') 3256386201
('E', 'N', 'T', 'H', 'L', 'C', 'M', 'P', 'U') ('I', 'A', 'S', 'O', 'F', 'R', 'W', 'D', 'G') 3256292291
('O', 'T', 'E', 'R', 'F', 'U', 'G', 'L', 'C') ('A', 'S', 'I', 'N', 'D', 'P', 'W', 'H', 'M') 3256288021
('A', 'T', 'E', 'R', 'G', 'U', 'F', 'L', 'C') ('O', 'S', 'I', 'N', 'D', 'P', 'W', 'H', 'M') 3256216285
('A', 'T', 'E', 'R', 'M', 'U', 'G', 'D', 'C') ('O', 'S', 'I', 'N', 'L', 'F', 'W', 'H', 'P') 3256208985
('I', 'O', 'H', 'E', 'D', 'L', 'G', 'U', 'W') ('S', 'A', 'N', 'T', 'F', 'R', 'M', 'P', 'C') 3256155254
('O', 'T', 'H', 'E', 'M', 'D', 'C', 'W', 'P') ('A', 'S', 'I', 'N', 'L', 'G', 'U', 'R', 'F') 3256130069
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'D', 'C') ('O', 'S', 'I', 'N', 'L', 'G', 'W', 'H', 'M') 3256072786
('O', 'A', 'T', 'E', 'F', 'C', 'M', 'P', 'G') ('R', 'S', 'I', 'N', 'D', 'U', 'W', 'H', 'L') 3256056177
('A', 'E', 'I', 'N', 'U', 'C', 'W', 'M', 'F') ('O', 'R', 'S', 'T', 'H', 'D', 'P', 'L', 'G') 3256050185
('I', 'N', 'H', 'E', 'L', 'D', 'M', 'C', 'U') ('O', 'A', 'S', 'T', 'F', 'R', 'W', 'P', 'G') 3256041507
('O', 'A', 'H', 'E', 'F', 'D', 'G', 'U', 'W') ('T', 'S', 'I', 'N', 'L', 'C', 'P', 'R', 'M') 3256024827
('O', 'E', 'S', 'T', 'F', 'D', 'C', 'P', 'W') ('A', 'R', 'I', 'N', 'L', 'G', 'U', 'M', 'H') 3255948477
('E', 'S', 'I', 'N', 'C', 'U', 'P', 'L', 'F') ('A', 'T', 'O', 'R', 'M', 'H', 'G', 'D', 'W') 3255921932
('I', 'A', 'H', 'E', 'F', 'L', 'M', 'G', 'U') ('O', 'N', 'S', 'T', 'R', 'D', 'W', 'C', 'P') 3255893059
('A', 'O', 'E', 'R', 'D', 'U', 'G', 'L', 'M') ('S', 'T', 'I', 'N', 'W', 'H', 'P', 'F', 'C') 3255834634
('A', 'S', 'E', 'R', 'L', 'U', 'F', 'D', 'C') ('O', 'T', 'I', 'N', 'G', 'H', 'P', 'M', 'W') 3255756514
('O', 'S', 'H', 'E', 'D', 'L', 'M', 'U', 'F') ('A', 'T', 'I', 'N', 'G', 'C', 'P', 'R', 'W') 3255750120
('I', 'T', 'H', 'E', 'G', 'D', 'P', 'U', 'F') ('O', 'S', 'A', 'N', 'R', 'C', 'W', 'L', 'M') 3255744554
('O', 'E', 'T', 'H', 'U', 'C', 'P', 'M', 'G') ('A', 'S', 'I', 'N', 'L', 'D', 'F', 'R', 'W') 3255624203
('O', 'E', 'S', 'T', 'F', 'D', 'P', 'L', 'G') ('A', 'R', 'I', 'N', 'C', 'U', 'W', 'H', 'M') 3255589605
('A', 'T', 'H', 'E', 'M', 'D', 'C', 'W', 'G') ('O', 'S', 'I', 'N', 'L', 'U', 'F', 'R', 'P') 3255582558
