('I', 'O', 'E', 'A', 'D', 'U', 'G', 'F', 'P') ('S', 'N', 'T', 'H', 'L', 'C', 'W', 'R', 'M') 3407234561
('O', 'A', 'S', 'T', 'U', 'C', 'F', 'D', 'G') ('I', 'N', 'H', 'E', 'L', 'R', 'M', 'P', 'W') 3221116433
('S', 'N', 'E', 'R', 'C', 'G', 'P', 'L', 'W') ('A', 'I', 'T', 'H', 'U', 'M', 'F', 'O', 'D') 3221054633
('R', 'T', 'H', 'E', 'P', 'D', 'F', 'W', 'U') ('A', 'S', 'I', 'N', 'C', 'O', 'G', 'L', 'M') 3221031221
('A', 'N', 'S', 'T', 'L', 'D', 'F', 'M', 'P') ('I', 'O', 'H', 'E', 'C', 'R', 'W', 'G', 'U') 3221003030
('I', 'R', 'H', 'E', 'L', 'D', 'P', 'U', 'F') ('S', 'T', 'A', 'N', 'G', 'O', 'W', 'C', 'M') 3220996396
('O', 'S', 'A', 'N', 'C', 'D', 'F', 'L', 'M') ('I', 'T', 'H', 'E', 'P', 'R', 'W', 'G', 'U') 3220982971
('E', 'N', 'T', 'H', 'C', 'D', 'P', 'L', 'U') ('I', 'S', 'A', 'R', 'M', 'O', 'G', 'W', 'F') 3220896590
('O', 'N', 'E', 'S', 'M', 'U', 'W', 'C', 'P') ('I', 'A', 'T', 'H', 'F', 'L', 'G', 'R', 'D') 3220884039
('S', 'T', 'I', 'N', 'G', 'D', 'P', 'L', 'C') ('O', 'A', 'H', 'E', 'F', 'R', 'M', 'U', 'W') 3220882719
('O', 'T', 'E', 'S', 'P', 'U', 'W', 'M', 'G') ('A', 'R', 'I', 'N', 'L', 'D', 'C', 'H', 'F') 3220871928
('A', 'S', 'E', 'R', 'C', 'U', 'W', 'M', 'F') ('I', 'N', 'T', 'H', 'L', 'D', 'G', 'O', 'P') 3220863646
('O', 'A', 'T', 'H', 'U', 'L', 'W', 'D', 'C') ('S', 'I', 'R', 'E', 'P', 'N', 'M', 'F', 'G') 3220850232
('I', 'O', 'E', 'A', 'L', 'M', 'G', 'F', 'P') ('S', 'N', 'T', 'H', 'C', 'D', 'W', 'R', 'U') 3220837589
('A', 'T', 'H', 'E', 'M', 'C', 'F', 'W', 'G') ('O', 'S', 'I', 'N', 'D', 'U', 'P', 'R', 'L') 3220833585
('O', 'N', 'E', 'S', 'L', 'U', 'W', 'G', 'F') ('A', 'I', 'T', 'H', 'M', 'C', 'P', 'R', 'D') 3220815266
('E', 'S', 'I', 'N', 'D', 'C', 'U', 'L', 'M') ('O', 'A', 'T', 'H', 'F', 'G', 'P', 'R', 'W') 3220801030
('O', 'I', 'T', 'E', 'P', 'M', 'C', 'U', 'W') ('S', 'R', 'A', 'N', 'L', 'D', 'G', 'H', 'F') 3220798621
('A', 'O', 'H', 'E', 'C', 'M', 'F', 'U', 'G') ('T', 'S', 'I', 'N', 'L', 'D', 'P', 'R', 'W') 3220787531
('A', 'S', 'T', 'E', 'L', 'D', 'G', 'F', 'P') ('O', 'R', 'I', 'N', 'C', 'U', 'W', 'H', 'M') 3220785637
('I', 'S', 'E', 'R', 'C', 'F', 'G', 'L', 'W') ('A', 'N', 'T', 'H', 'M', 'D', 'P', 'O', 'U') 3220759148
('I', 'A', 'S', 'E', 'D', 'L', 'M', 'U', 'G') ('O', 'N', 'T', 'H', 'F', 'C', 'P', 'R', 'W') 3220736620
('S', 'R', 'H', 'E', 'L', 'D', 'M', 'C', 'G') ('A', 'T', 'I', 'N', 'W', 'O', 'U', 'P', 'F') 3220719607
('I', 'S', 'H', 'E', 'L', 'D', 'F', 'W', 'U') ('R', 'T', 'A', 'N', 'M', 'O', 'G', 'C', 'P') 3220679292
('O', 'N', 'R', 'E', 'L', 'D', 'M', 'C', 'F') ('A', 'S', 'T', 'H', 'G', 'P', 'W', 'I', 'U') 3220670477
('I', 'T', 'H', 'E', 'C', 'D', 'M', 'P', 'W') ('R', 'S', 'A', 'N', 'G', 'O', 'U', 'L', 'F') 3220660088
('O', 'A', 'R', 'E', 'F', 'L', 'C', 'P', 'W') ('S', 'I', 'T', 'H', 'U', 'D', 'G', 'N', 'M') 3220659890
('A', 'S', 'I', 'N', 'D', 'C', 'P', 'L', 'F') ('O', 'T', 'H', 'E', 'W', 'R', 'M', 'U', 'G') 3220645634
('I', 'A', 'R', 'E', 'F', 'L', 'W', 'G', 'P') ('O', 'N', 'T', 'H', 'C', 'D', 'M', 'S', 'U') 3220599514
('A', 'S', 'I', 'N', 'D', 'U', 'F', 'C', 'M') ('O', 'T', 'H', 'E', 'W', 'R', 'L', 'P', 'G') 3220598975
('R', 'N', 'S', 'T', 'P', 'D', 'F', 'C', 'M') ('I', 'A', 'H', 'E', 'O', 'L', 'G', 'W', 'U') 3220593978
('S', 'T', 'E', 'R', 'M', 'U', 'W', 'D', 'F') ('A', 'H', 'I', 'N', 'L', 'O', 'G', 'C', 'P') 3220578971
('A', 'I', 'E', 'S', 'C', 'G', 'W', 'D', 'F') ('O', 'N', 'T', 'H', 'M', 'U', 'P', 'R', 'L') 3220567906
('E', 'S', 'I', 'N', 'D', 'G', 'C', 'L', 'W') ('O', 'A', 'T', 'H', 'U', 'M', 'P', 'R', 'F') 3220567221
('A', 'S', 'H', 'E', 'L', 'D', 'F', 'G', 'P') ('O', 'T', 'I', 'N', 'M', 'U', 'C', 'R', 'W') 3220566754
('O', 'A', 'S', 'E', 'F', 'L', 'G', 'W', 'P') ('I', 'N', 'T', 'H', 'C', 'D', 'M', 'R', 'U') 3220544239
('A', 'T', 'I', 'N', 'G', 'D', 'P', 'C', 'F') ('O', 'R', 'H', 'E', 'L', 'S', 'M', 'W', 'U') 3220533763
('O', 'A', 'T', 'E', 'F', 'L', 'W', 'C', 'G') ('R', 'S', 'I', 'N', 'D', 'U', 'P', 'M', 'H') 3220526354
('A', 'O', 'E', 'R', 'D', 'F', 'P', 'M', 'G') ('S', 'I', 'T', 'H', 'U', 'C', 'W', 'N', 'L') 3220505524
('A', 'N', 'R', 'E', 'L', 'D', 'M', 'P', 'G') ('O', 'I', 'T', 'H', 'U', 'C', 'W', 'S', 'F') 3220496872
('O', 'A', 'N', 'T', 'U', 'L', 'W', 'C', 'M') ('I', 'S', 'H', 'E', 'D', 'R', 'F', 'G', 'P') 3220491903
('O', 'I', 'H', 'E', 'U', 'D', 'M', 'P', 'G') ('A', 'N', 'S', 'T', 'L', 'R', 'W', 'C', 'F') 3220485798
('I', 'N', 'H', 'E', 'C', 'D', 'M', 'P', 'U') ('O', 'A', 'S', 'T', 'F', 'R', 'W', 'L', 'G') 3220471073
('I', 'R', 'A', 'T', 'L', 'D', 'F', 'C', 'M') ('S', 'O', 'H', 'E', 'G', 'N', 'P', 'U', 'W') 3220410382
('O', 'E', 'T', 'H', 'U', 'C', 'W', 'P', 'G') ('A', 'S', 'I', 'N', 'L', 'D', 'F', 'R', 'M') 3220407732
('O', 'E', 'S', 'T', 'F', 'D', 'M', 'P', 'C') ('A', 'R', 'I', 'N', 'L', 'G', 'W', 'H', 'U') 3220370768
('E', 'T', 'I', 'N', 'G', 'U', 'W', 'C', 'F') ('A', 'S', 'O', 'R', 'L', 'P', 'D', 'H', 'M') 3220360830
('A', 'I', 'T', 'O', 'U', 'C', 'W', 'D', 'M') ('S', 'R', 'H', 'E', 'L', 'N', 'F', 'P', 'G') 3220344131
('E', 'T', 'I', 'N', 'G', 'U', 'W', 'C', 'P') ('O', 'S', 'A', 'R', 'M', 'F', 'D', 'L', 'H') 3220318085
('A', 'I', 'T', 'H', 'U', 'C', 'P', 'L', 'D') ('O', 'N', 'E', 'R', 'M', 'G', 'W', 'S', 'F') 3220315079
('E', 'S', 'I', 'N', 'D', 'G', 'U', 'P', 'F') ('O', 'A', 'T', 'H', 'W', 'C', 'M', 'R', 'L') 3220290504
('O', 'E', 'A', 'N', 'F', 'C', 'P', 'L', 'M') ('S', 'I', 'T', 'H', 'U', 'G', 'W', 'D', 'R') 3220288383
('A', 'T', 'H', 'E', 'P', 'L', 'M', 'W', 'G') ('O', 'S', 'I', 'N', 'D', 'U', 'C', 'R', 'F') 3220265081
('R', 'S', 'H', 'E', 'C', 'D', 'L', 'F', 'G') ('A', 'T', 'I', 'N', 'M', 'O', 'U', 'P', 'W') 3220259740
('E', 'T', 'I', 'N', 'G', 'U', 'W', 'C', 'M') ('O', 'S', 'A', 'R', 'D', 'F', 'P', 'L', 'H') 3220249174
('R', 'N', 'S', 'T', 'L', 'D', 'F', 'M', 'W') ('A', 'I', 'H', 'E', 'C', 'O', 'P', 'G', 'U') 3220167122
('A', 'O', 'E', 'S', 'D', 'W', 'P', 'L', 'C') ('I', 'N', 'T', 'H', 'R', 'G', 'M', 'U', 'F') 3220153127
('E', 'T', 'I', 'N', 'G', 'U', 'P', 'L', 'F') ('A', 'S', 'O', 'R', 'C', 'D', 'W', 'H', 'M') 3220138301
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'L', 'C') ('O', 'S', 'I', 'N', 'D', 'G', 'W', 'H', 'M') 3220133572
('I', 'O', 'E', 'S', 'D', 'M', 'G', 'L', 'C') ('R', 'A', 'T', 'H', 'U', 'P', 'W', 'N', 'F') 3220121509
('O', 'S', 'H', 'E', 'C', 'D', 'L', 'P', 'W') ('A', 'T', 'I', 'N', 'G', 'U', 'F', 'R', 'M') 3220118537
('A', 'T', 'E', 'R', 'P', 'U', 'F', 'L', 'M') ('O', 'S', 'I', 'N', 'D', 'G', 'C', 'H', 'W') 3220087577
('A', 'I', 'E', 'S', 'P', 'G', 'W', 'D', 'C') ('O', 'N', 'T', 'H', 'F', 'U', 'M', 'R', 'L') 3220074453
('O', 'I', 'H', 'E', 'U', 'L', 'M', 'F', 'G') ('A', 'N', 'S', 'T', 'R', 'D', 'W', 'C', 'P') 3220048166
('I', 'A', 'T', 'O', 'U', 'L', 'W', 'D', 'M') ('R', 'S', 'H', 'E', 'C', 'N', 'P', 'F', 'G') 3220019679
('I', 'O', 'E', 'S', 'D', 'U', 'F', 'L', 'C') ('A', 'N', 'T', 'H', 'M', 'G', 'P', 'R', 'W') 3220011224
('N', 'S', 'E', 'R', 'D', 'P', 'F', 'C', 'W') ('A', 'I', 'T', 'H', 'U', 'L', 'M', 'O', 'G') 3219986435
('I', 'T', 'H', 'E', 'C', 'D', 'L', 'W', 'G') ('R', 'S', 'A', 'N', 'M', 'O', 'U', 'P', 'F') 3219982050
('I', 'R', 'H', 'E', 'C', 'D', 'M', 'U', 'F') ('S', 'T', 'A', 'N', 'G', 'O', 'P', 'L', 'W') 3219965318
('I', 'S', 'H', 'E', 'C', 'D', 'F', 'G', 'U') ('R', 'T', 'A', 'N', 'P', 'O', 'W', 'L', 'M') 3219938322
('R', 'T', 'H', 'E', 'G', 'D', 'C', 'U', 'W') ('A', 'S', 'I', 'N', 'L', 'O', 'P', 'M', 'F') 3219936555
('I', 'A', 'R', 'E', 'C', 'L', 'M', 'P', 'F') ('O', 'N', 'T', 'H', 'U', 'D', 'W', 'S', 'G') 3219917424
('O', 'S', 'H', 'E', 'C', 'D', 'L', 'F', 'W') ('A', 'T', 'I', 'N', 'G', 'U', 'P', 'R', 'M') 3219899432
('I', 'N', 'E', 'R', 'M', 'G', 'U', 'C', 'W') ('O', 'A', 'T', 'H', 'F', 'L', 'P', 'S', 'D') 3219897425
('E', 'N', 'T', 'H', 'C', 'D', 'P', 'L', 'G') ('I', 'S', 'A', 'R', 'F', 'O', 'U', 'M', 'W') 3219888318
('I', 'N', 'H', 'E', 'L', 'D', 'F', 'G', 'U') ('O', 'A', 'S', 'T', 'P', 'R', 'W', 'C', 'M') 3219884397
('A', 'I', 'H', 'E', 'C', 'D', 'G', 'W', 'U') ('O', 'N', 'S', 'T', 'F', 'R', 'M', 'P', 'L') 3219875172
('A', 'T', 'I', 'N', 'M', 'U', 'W', 'C', 'F') ('O', 'S', 'H', 'E', 'D', 'R', 'L', 'P', 'G') 3219869954
('O', 'S', 'H', 'E', 'C', 'D', 'F', 'U', 'G') ('A', 'T', 'I', 'N', 'P', 'R', 'W', 'L', 'M') 3219864081
('A', 'T', 'I', 'N', 'M', 'D', 'C', 'L', 'W') ('O', 'S', 'H', 'E', 'F', 'R', 'P', 'U', 'G') 3219811992
('A', 'N', 'E', 'S', 'L', 'G', 'F', 'D', 'C') ('O', 'I', 'T', 'H', 'U', 'P', 'W', 'R', 'M') 3219797372
('I', 'N', 'H', 'E', 'P', 'L', 'M', 'U', 'F') ('R', 'S', 'A', 'T', 'C', 'O', 'G', 'D', 'W') 3219795460
('A', 'T', 'H', 'E', 'M', 'L', 'D', 'C', 'G') ('O', 'S', 'I', 'N', 'F', 'U', 'P', 'R', 'W') 3219772393
('I', 'S', 'E', 'R', 'C', 'P', 'G', 'L', 'F') ('A', 'N', 'T', 'H', 'M', 'D', 'W', 'O', 'U') 3219770386
('O', 'S', 'H', 'E', 'D', 'L', 'M', 'P', 'U') ('A', 'T', 'I', 'N', 'G', 'R', 'W', 'C', 'F') 3219769867
('I', 'O', 'H', 'E', 'D', 'L', 'M', 'P', 'C') ('S', 'A', 'N', 'T', 'U', 'R', 'W', 'G', 'F') 3219712139
('O', 'T', 'E', 'R', 'M', 'C', 'W', 'D', 'L') ('A', 'S', 'I', 'N', 'G', 'U', 'P', 'H', 'F') 3219698365
('I', 'A', 'T', 'H', 'U', 'L', 'M', 'D', 'F') ('O', 'N', 'E', 'R', 'C', 'G', 'P', 'S', 'W') 3219619057
('I', 'N', 'T', 'H', 'L', 'C', 'M', 'P', 'F') ('A', 'O', 'R', 'E', 'D', 'S', 'G', 'U', 'W') 3219615259
('I', 'T', 'H', 'E', 'C', 'L', 'P', 'W', 'G') ('R', 'S', 'A', 'N', 'D', 'O', 'U', 'M', 'F') 3219612496
('O', 'N', 'H', 'E', 'L', 'D', 'C', 'F', 'W') ('I', 'A', 'S', 'T', 'U', 'R', 'M', 'P', 'G') 3219609055
('A', 'O', 'E', 'R', 'D', 'F', 'G', 'M', 'W') ('S', 'I', 'T', 'H', 'U', 'C', 'P', 'N', 'L') 3219518984
('I', 'S', 'E', 'R', 'D', 'P', 'G', 'C', 'M') ('O', 'A', 'T', 'H', 'U', 'L', 'W', 'N', 'F') 3219490998
('I', 'A', 'R', 'E', 'C', 'L', 'M', 'G', 'W') ('O', 'N', 'T', 'H', 'U', 'D', 'P', 'S', 'F') 3219489502
('A', 'O', 'E', 'S', 'D', 'U', 'P', 'L', 'M') ('I', 'N', 'T', 'H', 'C', 'G', 'W', 'R', 'F') 3219450231
('A', 'S', 'T', 'E', 'D', 'L', 'W', 'G', 'P') ('O', 'R', 'I', 'N', 'C', 'U', 'F', 'M', 'H') 3219419717
('I', 'O', 'E', 'R', 'D', 'F', 'P', 'L', 'C') ('S', 'A', 'T', 'H', 'U', 'G', 'W', 'N', 'M') 3219405473
('A', 'N', 'E', 'S', 'L', 'G', 'W', 'C', 'P') ('O', 'I', 'T', 'H', 'U', 'M', 'F', 'R', 'D') 3219399425
('A', 'N', 'R', 'E', 'M', 'D', 'C', 'U', 'G') ('O', 'I', 'T', 'H', 'P', 'L', 'W', 'S', 'F') 3219393996
('A', 'N', 'H', 'E', 'L', 'D', 'M', 'G', 'U') ('O', 'I', 'S', 'T', 'F', 'R', 'W', 'C', 'P') 3219393616
('O', 'N', 'E', 'R', 'P', 'U', 'W', 'D', 'C') ('I', 'A', 'T', 'H', 'F', 'L', 'G', 'S', 'M') 3219329682
('I', 'A', 'R', 'E', 'D', 'L', 'M', 'P', 'G') ('O', 'N', 'T', 'H', 'U', 'C', 'W', 'S', 'F') 3219275979
('O', 'S', 'H', 'E', 'D', 'L', 'M', 'W', 'G') ('A', 'T', 'I', 'N', 'C', 'U', 'P', 'R', 'F') 3219168771
('O', 'R', 'H', 'E', 'L', 'D', 'C', 'U', 'W') ('S', 'T', 'I', 'N', 'G', 'A', 'P', 'M', 'F') 3219140815
('O', 'I', 'T', 'E', 'U', 'D', 'P', 'F', 'G') ('S', 'R', 'A', 'N', 'L', 'C', 'W', 'H', 'M') 3219103788
('E', 'R', 'T', 'H', 'L', 'C', 'W', 'F', 'P') ('A', 'S', 'I', 'N', 'D', 'O', 'G', 'U', 'M') 3219097277
('O', 'A', 'S', 'T', 'U', 'C', 'W', 'D', 'G') ('I', 'N', 'H', 'E', 'L', 'R', 'M', 'P', 'F') 3219080623
('S', 'T', 'I', 'N', 'M', 'D', 'P', 'L', 'F') ('A', 'O', 'H', 'E', 'C', 'R', 'W', 'G', 'U') 3219070130
('N', 'T', 'E', 'R', 'P', 'U', 'F', 'C', 'M') ('I', 'H', 'A', 'S', 'L', 'O', 'G', 'D', 'W') 3219065492
('O', 'S', 'E', 'R', 'C', 'P', 'G', 'L', 'W') ('A', 'T', 'I', 'N', 'D', 'H', 'U', 'M', 'F') 3219048015
('R', 'N', 'S', 'T', 'L', 'C', 'M', 'P', 'W') ('I', 'A', 'H', 'E', 'O', 'D', 'G', 'U', 'F') 3219040418
('T', 'O', 'I', 'N', 'D', 'U', 'W', 'C', 'P') ('A', 'S', 'H', 'E', 'L', 'R', 'M', 'G', 'F') 3219036814
('O', 'S', 'E', 'R', 'D', 'F', 'G', 'C', 'W') ('A', 'T', 'I', 'N', 'P', 'H', 'U', 'L', 'M') 3219012817
('A', 'I', 'S', 'E', 'C', 'L', 'M', 'G', 'F') ('O', 'N', 'T', 'H', 'R', 'D', 'W', 'U', 'P') 3218973112
('O', 'N', 'E', 'S', 'M', 'G', 'F', 'C', 'P') ('I', 'A', 'T', 'H', 'U', 'L', 'W', 'R', 'D') 3218972926
('O', 'I', 'E', 'S', 'P', 'F', 'W', 'C', 'G') ('A', 'N', 'T', 'H', 'L', 'D', 'M', 'R', 'U') 3218955648
('S', 'T', 'I', 'N', 'G', 'C', 'P', 'L', 'M') ('A', 'O', 'H', 'E', 'D', 'R', 'F', 'W', 'U') 3218933782
('O', 'R', 'H', 'E', 'L', 'D', 'M', 'C', 'U') ('S', 'T', 'I', 'N', 'G', 'A', 'W', 'F', 'P') 3218919882
('E', 'S', 'O', 'N', 'C', 'D', 'M', 'F', 'L') ('A', 'I', 'T', 'H', 'U', 'G', 'P', 'R', 'W') 3218911268
('O', 'T', 'A', 'N', 'G', 'D', 'P', 'L', 'F') ('I', 'S', 'H', 'E', 'C', 'R', 'M', 'W', 'U') 3218909807
('O', 'N', 'E', 'R', 'M', 'G', 'P', 'D', 'C') ('I', 'A', 'T', 'H', 'U', 'L', 'W', 'S', 'F') 3218860227
('A', 'S', 'H', 'E', 'C', 'L', 'F', 'P', 'U') ('O', 'T', 'I', 'N', 'G', 'D', 'M', 'R', 'W') 3218818820
('N', 'S', 'E', 'R', 'G', 'U', 'F', 'C', 'M') ('I', 'A', 'T', 'H', 'O', 'L', 'W', 'D', 'P') 3218789180
('A', 'T', 'H', 'E', 'C', 'L', 'D', 'F', 'P') ('S', 'O', 'I', 'N', 'G', 'U', 'W', 'R', 'M') 3218779659
('I', 'A', 'R', 'E', 'D', 'L', 'C', 'U', 'P') ('O', 'N', 'T', 'H', 'F', 'G', 'W', 'S', 'M') 3218764297
('O', 'S', 'H', 'E', 'L', 'D', 'P', 'U', 'F') ('A', 'T', 'I', 'N', 'G', 'R', 'W', 'C', 'M') 3218748494
('A', 'N', 'H', 'E', 'C', 'L', 'F', 'G', 'U') ('I', 'O', 'S', 'T', 'D', 'R', 'W', 'M', 'P') 3218707418
('I', 'S', 'E', 'R', 'D', 'P', 'G', 'L', 'M') ('O', 'A', 'T', 'H', 'U', 'C', 'W', 'N', 'F') 3218704575
('O', 'T', 'I', 'N', 'G', 'C', 'P', 'L', 'W') ('A', 'S', 'H', 'E', 'D', 'R', 'M', 'U', 'F') 3218701703
('A', 'N', 'R', 'E', 'L', 'D', 'M', 'C', 'W') ('O', 'I', 'T', 'H', 'U', 'G', 'P', 'S', 'F') 3218692272
('I', 'S', 'H', 'E', 'D', 'L', 'M', 'C', 'U') ('R', 'T', 'A', 'N', 'G', 'O', 'W', 'P', 'F') 3218688867
('A', 'S', 'E', 'R', 'D', 'F', 'W', 'C', 'M') ('O', 'I', 'T', 'H', 'U', 'L', 'G', 'N', 'P') 3218639286
('A', 'S', 'T', 'O', 'C', 'P', 'W', 'D', 'G') ('I', 'N', 'H', 'E', 'L', 'R', 'M', 'U', 'F') 3218627761
('S', 'N', 'E', 'R', 'P', 'U', 'F', 'C', 'W') ('I', 'A', 'T', 'H', 'O', 'L', 'G', 'D', 'M') 3218599654
('A', 'I', 'R', 'E', 'P', 'L', 'C', 'G', 'W') ('O', 'N', 'T', 'H', 'F', 'D', 'U', 'S', 'M') 3218592378
('I', 'S', 'E', 'R', 'D', 'P', 'F', 'C', 'M') ('A', 'N', 'T', 'H', 'L', 'G', 'W', 'O', 'U') 3218548436
('A', 'T', 'E', 'R', 'D', 'U', 'F', 'L', 'G') ('O', 'S', 'I', 'N', 'C', 'W', 'P', 'M', 'H') 3218463702
('A', 'I', 'H', 'E', 'P', 'M', 'F', 'W', 'U') ('O', 'N', 'S', 'T', 'R', 'D', 'C', 'L', 'G') 3218463628
('N', 'T', 'H', 'E', 'G', 'L', 'F', 'W', 'U') ('I', 'S', 'A', 'R', 'C', 'O', 'P', 'M', 'D') 3218451456
('O', 'N', 'H', 'E', 'L', 'D', 'P', 'G', 'U') ('I', 'A', 'S', 'T', 'F', 'R', 'W', 'C', 'M') 3218450849
('T', 'R', 'O', 'N', 'L', 'D', 'G', 'C', 'P') ('A', 'I', 'H', 'E', 'M', 'S', 'F', 'W', 'U') 3218450801
('O', 'E', 'S', 'T', 'U', 'C', 'F', 'L', 'W') ('A', 'R', 'I', 'N', 'D', 'G', 'P', 'M', 'H') 3218436646
('I', 'T', 'H', 'E', 'C', 'D', 'M', 'W', 'F') ('S', 'R', 'A', 'N', 'L', 'O', 'G', 'U', 'P') 3218397233
('O', 'I', 'S', 'T', 'U', 'L', 'D', 'C', 'P') ('A', 'N', 'H', 'E', 'M', 'R', 'F', 'G', 'W') 3218388397
('O', 'E', 'A', 'T', 'U', 'D', 'F', 'C', 'G') ('S', 'R', 'I', 'N', 'L', 'P', 'W', 'H', 'M') 3218386511
('T', 'R', 'O', 'N', 'C', 'D', 'P', 'L', 'W') ('A', 'I', 'H', 'E', 'M', 'S', 'F', 'G', 'U') 3218384500
('I', 'O', 'E', 'S', 'G', 'U', 'W', 'M', 'F') ('A', 'N', 'T', 'H', 'C', 'D', 'P', 'R', 'L') 3218382242
('O', 'S', 'H', 'E', 'C', 'D', 'P', 'U', 'F') ('A', 'T', 'I', 'N', 'G', 'R', 'W', 'L', 'M') 3218358363
('O', 'N', 'E', 'R', 'M', 'G', 'F', 'D', 'C') ('S', 'A', 'T', 'H', 'U', 'L', 'W', 'I', 'P') 3218339652
('A', 'I', 'H', 'E', 'C', 'L', 'P', 'G', 'U') ('S', 'O', 'N', 'T', 'D', 'R', 'W', 'F', 'M') 3218332738
('T', 'R', 'A', 'N', 'L', 'U', 'F', 'C', 'M') ('I', 'S', 'H', 'E', 'D', 'O', 'P', 'G', 'W') 3218308221
('O', 'N', 'H', 'E', 'L', 'D', 'F', 'G', 'U') ('A', 'I', 'S', 'T', 'P', 'R', 'W', 'C', 'M') 3218305984
('A', 'S', 'H', 'E', 'C', 'D', 'M', 'G', 'F') ('O', 'T', 'I', 'N', 'L', 'U', 'P', 'R', 'W') 3218270456
('I', 'R', 'H', 'E', 'L', 'D', 'M', 'W', 'U') ('S', 'T', 'A', 'N', 'P', 'O', 'G', 'C', 'F') 3218198041
('O', 'I', 'E', 'S', 'P', 'U', 'F', 'L', 'M') ('A', 'N', 'T', 'H', 'C', 'D', 'G', 'R', 'W') 3218197308
('O', 'R', 'H', 'E', 'L', 'D', 'C', 'G', 'P') ('S', 'T', 'I', 'N', 'W', 'A', 'U', 'M', 'F') 3218097205
('O', 'T', 'E', 'R', 'P', 'U', 'F', 'C', 'M') ('A', 'S', 'I', 'N', 'D', 'G', 'W', 'H', 'L') 3218092309
('O', 'E', 'A', 'N', 'G', 'D', 'P', 'L', 'C') ('S', 'I', 'T', 'H', 'U', 'M', 'W', 'R', 'F') 3218047126
('E', 'S', 'T', 'H', 'C', 'W', 'P', 'L', 'M') ('A', 'R', 'I', 'N', 'D', 'O', 'G', 'U', 'F') 3218014010
('O', 'S', 'H', 'E', 'C', 'D', 'M', 'P', 'G') ('A', 'T', 'I', 'N', 'L', 'U', 'F', 'R', 'W') 3218013347
('A', 'O', 'H', 'E', 'D', 'L', 'M', 'P', 'W') ('S', 'T', 'I', 'N', 'G', 'U', 'C', 'R', 'F') 3218011860
('A', 'I', 'T', 'H', 'U', 'C', 'P', 'M', 'D') ('O', 'N', 'E', 'R', 'L', 'G', 'W', 'S', 'F') 3217971653
('A', 'S', 'H', 'E', 'M', 'D', 'P', 'U', 'F') ('O', 'T', 'I', 'N', 'G', 'R', 'W', 'L', 'C') 3217968774
('A', 'O', 'R', 'E', 'C', 'L', 'M', 'P', 'G') ('S', 'I', 'T', 'H', 'U', 'D', 'W', 'N', 'F') 3217953147
('S', 'T', 'E', 'R', 'M', 'U', 'W', 'D', 'G') ('O', 'A', 'I', 'N', 'F', 'C', 'P', 'L', 'H') 3217947943
('O', 'A', 'S', 'T', 'U', 'L', 'W', 'D', 'G') ('I', 'N', 'H', 'E', 'C', 'R', 'M', 'P', 'F') 3217941287
('A', 'N', 'H', 'E', 'M', 'D', 'F', 'W', 'U') ('O', 'I', 'S', 'T', 'P', 'R', 'C', 'L', 'G') 3217927523
('A', 'N', 'E', 'S', 'L', 'G', 'P', 'M', 'C') ('O', 'I', 'T', 'H', 'U', 'D', 'W', 'R', 'F') 3217885902
('T', 'S', 'I', 'N', 'C', 'U', 'W', 'L', 'M') ('A', 'O', 'H', 'E', 'D', 'R', 'F', 'G', 'P') 3217852211
('A', 'I', 'H', 'E', 'P', 'D', 'M', 'G', 'U') ('O', 'N', 'S', 'T', 'F', 'R', 'C', 'L', 'W') 3217840519
('O', 'A', 'S', 'T', 'U', 'L', 'D', 'F', 'C') ('R', 'I', 'H', 'E', 'P', 'N', 'M', 'W', 'G') 3217832257
('I', 'A', 'R', 'E', 'D', 'L', 'C', 'F', 'W') ('O', 'N', 'T', 'H', 'U', 'G', 'P', 'S', 'M') 3217824929
('A', 'S', 'E', 'R', 'L', 'U', 'W', 'M', 'F') ('I', 'N', 'T', 'H', 'C', 'D', 'P', 'O', 'G') 3217818699
('I', 'O', 'E', 'A', 'L', 'U', 'F', 'D', 'P') ('N', 'S', 'T', 'H', 'G', 'C', 'W', 'R', 'M') 3217817345
('O', 'R', 'S', 'T', 'L', 'D', 'G', 'M', 'W') ('A', 'I', 'H', 'E', 'C', 'N', 'P', 'U', 'F') 3217809610
('A', 'I', 'H', 'E', 'C', 'L', 'D', 'U', 'P') ('S', 'O', 'N', 'T', 'G', 'R', 'W', 'F', 'M') 3217769922
('I', 'S', 'H', 'E', 'D', 'L', 'M', 'C', 'F') ('O', 'A', 'N', 'T', 'U', 'R', 'W', 'G', 'P') 3217731787
('I', 'S', 'E', 'R', 'G', 'U', 'F', 'L', 'W') ('A', 'N', 'T', 'H', 'C', 'D', 'M', 'O', 'P') 3217692928
('O', 'I', 'T', 'E', 'M', 'L', 'W', 'G', 'P') ('R', 'S', 'A', 'N', 'D', 'U', 'C', 'H', 'F') 3217672280
('O', 'I', 'E', 'R', 'P', 'F', 'W', 'C', 'L') ('S', 'A', 'T', 'H', 'U', 'D', 'G', 'N', 'M') 3217642177
('R', 'T', 'I', 'N', 'G', 'D', 'F', 'L', 'M') ('A', 'S', 'H', 'E', 'C', 'O', 'P', 'U', 'W') 3217621447
