[('A', 'E', 'S', 'T', 'U', 'D', 'F', 'C', 'G', 'B'), 688783762.1000003] 
[('A', 'T', 'E', 'S', 'D', 'C', 'G', 'U', 'F', 'B'), 603953168.9] 
[('A', 'S', 'T', 'E', 'B', 'D', 'G', 'U', 'C', 'F'), 603952255.4500002] 
[('S', 'E', 'A', 'T', 'U', 'F', 'D', 'C', 'G', 'B'), 603930916.8500001] 
[('A', 'E', 'S', 'T', 'U', 'B', 'G', 'F', 'D', 'C'), 603916917.7999998] 
[('E', 'T', 'A', 'S', 'B', 'U', 'F', 'D', 'G', 'C'), 603902116.7500001] 
[('E', 'A', 'S', 'T', 'D', 'U', 'C', 'B', 'G', 'F'), 603847358.25] 
[('E', 'S', 'A', 'T', 'D', 'F', 'B', 'C', 'G', 'U'), 603822219.8499999] 
[('E', 'S', 'A', 'T', 'D', 'G', 'F', 'C', 'U', 'B'), 603785909.9500004] 
[('E', 'A', 'S', 'T', 'F', 'C', 'G', 'U', 'B', 'D'), 603758403.8499999] 
[('A', 'E', 'S', 'T', 'U', 'G', 'C', 'F', 'B', 'D'), 603719304.55] 
[('E', 'A', 'S', 'T', 'F', 'U', 'G', 'D', 'C', 'B'), 603716995.4500002] 
[('T', 'A', 'E', 'S', 'F', 'U', 'B', 'C', 'D', 'G'), 603700967.5499995] 
[('A', 'E', 'S', 'T', 'F', 'C', 'U', 'B', 'D', 'G'), 603699684.2] 
[('E', 'S', 'A', 'T', 'C', 'G', 'U', 'D', 'F', 'B'), 603695493.1] 
[('A', 'S', 'T', 'E', 'C', 'D', 'U', 'B', 'F', 'G'), 603693106.6999996] 
[('E', 'S', 'A', 'T', 'D', 'F', 'B', 'C', 'U', 'G'), 603691974.5499998] 
[('E', 'S', 'A', 'T', 'G', 'U', 'F', 'B', 'D', 'C'), 603682733.6] 
[('T', 'A', 'E', 'S', 'D', 'U', 'C', 'F', 'G', 'B'), 603676585.1499999] 
[('E', 'A', 'S', 'T', 'F', 'C', 'U', 'B', 'G', 'D'), 603671193.5500003] 
[('S', 'A', 'T', 'E', 'D', 'C', 'B', 'U', 'F', 'G'), 603630693.8000001] 
[('E', 'A', 'S', 'T', 'D', 'F', 'U', 'G', 'B', 'C'), 603624510.5499998] 
[('E', 'S', 'A', 'T', 'G', 'U', 'F', 'B', 'C', 'D'), 603618219.3000003] 
[('E', 'A', 'S', 'T', 'C', 'D', 'F', 'B', 'G', 'U'), 603602792.1000001] 
[('T', 'E', 'A', 'S', 'U', 'D', 'B', 'G', 'F', 'C'), 603584443.5] 
[('E', 'A', 'S', 'T', 'D', 'G', 'F', 'C', 'U', 'B'), 603582577.1500005] 
[('E', 'A', 'S', 'T', 'U', 'B', 'D', 'G', 'C', 'F'), 603580350.9000002] 
[('A', 'E', 'T', 'S', 'U', 'D', 'B', 'C', 'G', 'F'), 603557636.5000004] 
[('A', 'E', 'S', 'T', 'C', 'D', 'F', 'B', 'G', 'U'), 603551570.2500005] 
[('E', 'A', 'S', 'T', 'F', 'U', 'C', 'D', 'B', 'G'), 603534289.4499997] 
[('S', 'E', 'A', 'T', 'U', 'F', 'B', 'D', 'C', 'G'), 603509552.7499996] 
[('A', 'S', 'T', 'E', 'C', 'D', 'U', 'G', 'F', 'B'), 603499479.3999994] 
[('A', 'E', 'T', 'S', 'U', 'D', 'G', 'F', 'C', 'B'), 603479741.5000001] 
[('E', 'A', 'S', 'T', 'C', 'D', 'G', 'B', 'F', 'U'), 603466383.4] 
[('E', 'S', 'A', 'T', 'F', 'U', 'C', 'D', 'G', 'B'), 603462462.5500001] 
[('A', 'E', 'S', 'T', 'F', 'D', 'B', 'G', 'U', 'C'), 603446043.05] 
[('A', 'S', 'T', 'E', 'G', 'D', 'B', 'U', 'F', 'C'), 603441127.2500005] 
[('A', 'T', 'E', 'S', 'G', 'C', 'U', 'D', 'B', 'F'), 603421260.95] 
[('S', 'E', 'A', 'T', 'F', 'D', 'U', 'G', 'C', 'B'), 603421104.7] 
[('A', 'E', 'S', 'T', 'C', 'D', 'G', 'B', 'F', 'U'), 603415161.5500003] 
[('T', 'E', 'S', 'A', 'U', 'D', 'B', 'C', 'G', 'F'), 603412183.7500001] 
[('T', 'E', 'S', 'A', 'U', 'C', 'G', 'D', 'B', 'F'), 603406173.8] 
[('E', 'S', 'A', 'T', 'C', 'U', 'B', 'G', 'F', 'D'), 603367143.8999999] 
[('A', 'T', 'E', 'S', 'D', 'C', 'G', 'U', 'B', 'F'), 603313431.3] 
[('E', 'A', 'S', 'T', 'G', 'D', 'C', 'F', 'B', 'U'), 603227443.0999997] 
[('E', 'S', 'A', 'T', 'B', 'U', 'F', 'G', 'D', 'C'), 603223218.7] 
[('E', 'T', 'S', 'A', 'D', 'C', 'G', 'U', 'F', 'B'), 603207066.8500001] 
[('E', 'A', 'S', 'T', 'C', 'D', 'U', 'F', 'B', 'G'), 603116854.7999997] 
[('E', 'S', 'A', 'T', 'D', 'C', 'F', 'B', 'G', 'U'), 603105821.4500002] 
[('E', 'S', 'A', 'T', 'F', 'U', 'D', 'G', 'C', 'B'), 603083157.0500002] 
[('A', 'E', 'S', 'T', 'G', 'C', 'U', 'D', 'F', 'B'), 603078627.9999999] 
[('T', 'E', 'A', 'S', 'U', 'D', 'C', 'B', 'G', 'F'), 603056278.5000005] 
[('A', 'E', 'S', 'T', 'B', 'D', 'G', 'C', 'F', 'U'), 603043556.8000002] 
[('E', 'T', 'A', 'S', 'C', 'U', 'G', 'D', 'B', 'F'), 603026277.8499999] 
[('E', 'S', 'A', 'T', 'F', 'U', 'D', 'B', 'C', 'G'), 602958724.25] 
[('E', 'T', 'A', 'S', 'D', 'F', 'U', 'G', 'C', 'B'), 602941323.5500002] 
[('T', 'E', 'A', 'S', 'U', 'C', 'F', 'D', 'B', 'G'), 602912568.95] 
[('A', 'E', 'S', 'T', 'U', 'B', 'D', 'F', 'G', 'C'), 602904984.6] 
[('E', 'T', 'S', 'A', 'D', 'C', 'B', 'U', 'G', 'F'), 602901709.05] 
[('E', 'A', 'S', 'T', 'U', 'G', 'C', 'B', 'F', 'D'), 602889077.6999998] 
[('A', 'S', 'E', 'T', 'D', 'U', 'G', 'B', 'C', 'F'), 602860554.25] 
[('E', 'T', 'A', 'S', 'C', 'D', 'U', 'G', 'F', 'B'), 602853010.9500002] 
[('T', 'A', 'E', 'S', 'U', 'F', 'B', 'D', 'C', 'G'), 602851140.1499999] 
[('T', 'A', 'E', 'S', 'D', 'F', 'U', 'G', 'C', 'B'), 602837388.6000004] 
[('A', 'T', 'E', 'S', 'C', 'F', 'U', 'G', 'B', 'D'), 602830997.2] 
[('T', 'A', 'E', 'S', 'U', 'C', 'B', 'D', 'G', 'F'), 602818523.05] 
[('E', 'S', 'A', 'T', 'D', 'F', 'C', 'U', 'G', 'B'), 602811935.5500002] 
[('T', 'A', 'E', 'S', 'U', 'G', 'F', 'D', 'B', 'C'), 602798661.9500002] 
[('A', 'T', 'S', 'E', 'B', 'D', 'C', 'U', 'G', 'F'), 602791713.0500002] 
[('E', 'S', 'T', 'A', 'C', 'D', 'G', 'F', 'U', 'B'), 602772908.3] 
[('E', 'S', 'A', 'T', 'B', 'U', 'F', 'G', 'C', 'D'), 602755668.5000005] 
[('A', 'T', 'E', 'S', 'G', 'B', 'U', 'D', 'C', 'F'), 602708286.4000003] 
[('T', 'A', 'E', 'S', 'D', 'U', 'C', 'G', 'F', 'B'), 602670180.65] 
[('E', 'A', 'S', 'T', 'B', 'C', 'F', 'D', 'G', 'U'), 602646952.5000002] 
[('A', 'E', 'T', 'S', 'U', 'D', 'B', 'C', 'F', 'G'), 602646922.7000002] 
[('A', 'E', 'S', 'T', 'F', 'C', 'D', 'U', 'B', 'G'), 602606987.5000001] 
[('E', 'T', 'S', 'A', 'D', 'C', 'G', 'U', 'B', 'F'), 602597046.2499998] 
[('E', 'A', 'S', 'T', 'B', 'D', 'F', 'G', 'C', 'U'), 602558404.7000004] 
[('A', 'T', 'E', 'S', 'G', 'U', 'B', 'F', 'C', 'D'), 602547554.6999999] 
[('A', 'S', 'T', 'E', 'D', 'C', 'F', 'B', 'G', 'U'), 602541957.0] 
[('E', 'A', 'S', 'T', 'D', 'F', 'G', 'C', 'U', 'B'), 602511202.9500004] 
[('E', 'A', 'S', 'T', 'B', 'D', 'U', 'G', 'C', 'F'), 602482251.8000003] 
[('E', 'T', 'A', 'S', 'C', 'U', 'F', 'G', 'D', 'B'), 602471649.6500001] 
[('E', 'S', 'A', 'T', 'F', 'U', 'C', 'D', 'B', 'G'), 602446362.0499996] 
[('E', 'S', 'A', 'T', 'B', 'F', 'U', 'C', 'D', 'G'), 602429362.5999999] 
[('T', 'E', 'A', 'S', 'F', 'D', 'U', 'C', 'G', 'B'), 602427460.8500005] 
[('T', 'A', 'E', 'S', 'D', 'F', 'U', 'B', 'C', 'G'), 602374792.7000002] 
[('E', 'S', 'A', 'T', 'C', 'D', 'G', 'F', 'B', 'U'), 602347980.6999997] 
[('E', 'T', 'S', 'A', 'D', 'C', 'B', 'U', 'F', 'G'), 602344999.6500001] 
[('T', 'A', 'E', 'S', 'C', 'U', 'B', 'D', 'G', 'F'), 602342897.7999998] 
[('T', 'E', 'A', 'S', 'U', 'D', 'C', 'G', 'F', 'B'), 602327105.9000001] 
[('T', 'A', 'E', 'S', 'G', 'U', 'B', 'D', 'C', 'F'), 602221885.3000001] 
[('T', 'A', 'E', 'S', 'B', 'U', 'C', 'D', 'G', 'F'), 602206737.2000004] 
[('E', 'S', 'A', 'T', 'D', 'B', 'U', 'F', 'C', 'G'), 602158912.4499997] 
[('T', 'A', 'E', 'S', 'D', 'U', 'C', 'B', 'F', 'G'), 602149428.65] 
[('E', 'A', 'S', 'T', 'D', 'U', 'C', 'B', 'F', 'G'), 602139200.3499999] 
[('A', 'S', 'T', 'E', 'G', 'D', 'C', 'F', 'U', 'B'), 602120180.3499997] 
[('T', 'E', 'S', 'A', 'U', 'C', 'B', 'D', 'G', 'F'), 602100339.3000001] 
[('T', 'A', 'E', 'S', 'U', 'G', 'F', 'C', 'D', 'B'), 602060130.5500002] 
[('E', 'A', 'S', 'T', 'F', 'C', 'D', 'B', 'G', 'U'), 602048510.2500004] 
[('T', 'A', 'E', 'S', 'B', 'U', 'F', 'C', 'G', 'D'), 602028722.6000003] 
[('E', 'T', 'A', 'S', 'D', 'U', 'B', 'G', 'F', 'C'), 601977408.9499997] 
[('A', 'E', 'S', 'T', 'G', 'C', 'F', 'D', 'B', 'U'), 601962970.1000003] 
[('T', 'A', 'E', 'S', 'D', 'G', 'U', 'C', 'B', 'F'), 601949889.2000003] 
[('A', 'T', 'E', 'S', 'B', 'G', 'U', 'C', 'F', 'D'), 601935194.7] 
[('A', 'E', 'S', 'T', 'G', 'C', 'B', 'D', 'U', 'F'), 601910296.9000002] 
[('A', 'S', 'T', 'E', 'G', 'D', 'C', 'F', 'B', 'U'), 601877120.7499996] 
[('A', 'T', 'S', 'E', 'B', 'D', 'C', 'U', 'F', 'G'), 601875256.4500003] 
[('E', 'A', 'S', 'T', 'U', 'B', 'G', 'C', 'F', 'D'), 601874385.0999999] 
[('E', 'T', 'A', 'S', 'C', 'U', 'B', 'D', 'F', 'G'), 601867952.2499998] 
[('E', 'S', 'A', 'T', 'D', 'C', 'G', 'B', 'U', 'F'), 601858182.45] 
[('A', 'T', 'E', 'S', 'D', 'C', 'B', 'U', 'F', 'G'), 601840722.3] 
[('A', 'T', 'E', 'S', 'G', 'B', 'U', 'D', 'F', 'C'), 601791357.8000003] 
[('T', 'E', 'S', 'A', 'U', 'C', 'G', 'D', 'F', 'B'), 601786289.7999997] 
[('E', 'A', 'S', 'T', 'D', 'F', 'B', 'U', 'C', 'G'), 601761849.2499999] 
[('A', 'T', 'E', 'S', 'D', 'F', 'G', 'C', 'U', 'B'), 601755956.65] 
[('S', 'E', 'A', 'T', 'U', 'F', 'G', 'C', 'D', 'B'), 601730160.5500001] 
[('A', 'T', 'E', 'S', 'D', 'C', 'B', 'U', 'G', 'F'), 601697159.0] 
[('A', 'T', 'S', 'E', 'C', 'D', 'G', 'U', 'B', 'F'), 601655905.2000002] 
[('E', 'A', 'S', 'T', 'B', 'D', 'G', 'F', 'C', 'U'), 601635622.7000002] 
[('E', 'A', 'S', 'T', 'G', 'D', 'C', 'B', 'F', 'U'), 601626433.9000001] 
[('A', 'E', 'S', 'T', 'B', 'D', 'C', 'G', 'U', 'F'), 601626386.1000001] 
[('A', 'T', 'E', 'S', 'F', 'G', 'U', 'D', 'C', 'B'), 601622030.7499998] 
[('S', 'E', 'A', 'T', 'U', 'D', 'B', 'F', 'G', 'C'), 601593001.2999998] 
[('E', 'A', 'S', 'T', 'B', 'C', 'F', 'U', 'D', 'G'), 601591126.8000001] 
[('E', 'T', 'A', 'S', 'C', 'D', 'U', 'B', 'F', 'G'), 601587900.3500003] 
[('A', 'T', 'E', 'S', 'F', 'C', 'U', 'D', 'G', 'B'), 601584976.4499997] 
[('A', 'E', 'S', 'T', 'B', 'C', 'F', 'D', 'U', 'G'), 601563921.5500001] 
[('E', 'S', 'T', 'A', 'D', 'C', 'G', 'B', 'F', 'U'), 601552798.7500002] 
[('A', 'E', 'S', 'T', 'B', 'D', 'C', 'F', 'G', 'U'), 601535931.8000001] 
[('E', 'A', 'T', 'S', 'U', 'D', 'G', 'C', 'B', 'F'), 601468219.6] 
[('E', 'T', 'A', 'S', 'D', 'U', 'B', 'F', 'G', 'C'), 601420553.7499995] 
[('A', 'S', 'E', 'T', 'C', 'U', 'F', 'G', 'D', 'B'), 601397874.6499997] 
[('E', 'T', 'A', 'S', 'D', 'U', 'C', 'G', 'B', 'F'), 601381682.3500001] 
[('T', 'E', 'S', 'A', 'U', 'D', 'F', 'G', 'C', 'B'), 601374601.0500003] 
[('E', 'A', 'S', 'T', 'B', 'D', 'U', 'G', 'F', 'C'), 601374407.9] 
[('A', 'E', 'S', 'T', 'G', 'C', 'B', 'D', 'F', 'U'), 601374245.3000002] 
[('E', 'S', 'A', 'T', 'F', 'C', 'U', 'D', 'B', 'G'), 601360953.4499996] 
[('A', 'S', 'T', 'E', 'D', 'B', 'G', 'C', 'F', 'U'), 601357986.85] 
[('A', 'E', 'S', 'T', 'C', 'D', 'B', 'F', 'U', 'G'), 601348017.7499998] 
[('E', 'A', 'S', 'T', 'D', 'U', 'G', 'F', 'B', 'C'), 601305193.3499995] 
[('E', 'A', 'S', 'T', 'U', 'G', 'B', 'C', 'F', 'D'), 601299489.7999997] 
[('A', 'T', 'E', 'S', 'B', 'C', 'U', 'F', 'D', 'G'), 601276452.4999999] 
[('E', 'T', 'A', 'S', 'D', 'F', 'U', 'B', 'C', 'G'), 601245492.75] 
[('E', 'S', 'A', 'T', 'C', 'D', 'G', 'B', 'F', 'U'), 601227908.5999999] 
[('A', 'S', 'T', 'E', 'F', 'D', 'C', 'U', 'B', 'G'), 601220512.8999999] 
[('E', 'A', 'S', 'T', 'G', 'D', 'B', 'U', 'F', 'C'), 601207412.0999999] 
[('T', 'A', 'E', 'S', 'B', 'U', 'F', 'G', 'D', 'C'), 601203913.6] 
[('T', 'E', 'S', 'A', 'U', 'D', 'B', 'C', 'F', 'G'), 601202286.4499999] 
[('E', 'S', 'A', 'T', 'F', 'U', 'G', 'C', 'B', 'D'), 601170689.1499999] 
[('A', 'T', 'E', 'S', 'G', 'U', 'D', 'B', 'C', 'F'), 601148962.2] 
[('E', 'A', 'S', 'T', 'B', 'C', 'G', 'U', 'D', 'F'), 601145733.8] 
[('A', 'S', 'T', 'E', 'B', 'D', 'G', 'C', 'F', 'U'), 601130450.0500001] 
[('A', 'E', 'S', 'T', 'G', 'C', 'D', 'U', 'F', 'B'), 601118732.3000002] 
[('E', 'A', 'S', 'T', 'U', 'B', 'G', 'F', 'D', 'C'), 601069210.8999996] 
[('A', 'S', 'T', 'E', 'C', 'D', 'U', 'B', 'G', 'F'), 601050576.1999996] 
[('E', 'S', 'A', 'T', 'F', 'U', 'B', 'D', 'G', 'C'), 601049409.1499997] 
[('E', 'A', 'S', 'T', 'F', 'C', 'U', 'G', 'B', 'D'), 601034877.2499999] 
[('A', 'T', 'E', 'S', 'G', 'F', 'U', 'B', 'D', 'C'), 601027501.9000003] 
[('T', 'A', 'E', 'S', 'U', 'B', 'G', 'D', 'C', 'F'), 601018538.0500003] 
[('A', 'S', 'T', 'E', 'F', 'D', 'B', 'U', 'C', 'G'), 601011556.7000002] 
[('S', 'E', 'A', 'T', 'U', 'G', 'F', 'D', 'C', 'B'), 600994427.7] 
[('E', 'T', 'A', 'S', 'D', 'B', 'U', 'C', 'F', 'G'), 600972436.4499998] 
[('S', 'E', 'A', 'T', 'F', 'D', 'U', 'B', 'C', 'G'), 600942955.9] 
[('E', 'T', 'A', 'S', 'C', 'U', 'G', 'D', 'F', 'B'), 600922967.25] 
[('A', 'S', 'E', 'T', 'C', 'U', 'F', 'B', 'D', 'G'), 600917249.2499998] 
[('E', 'S', 'A', 'T', 'B', 'U', 'G', 'D', 'C', 'F'), 600867994.6000004] 
[('E', 'A', 'S', 'T', 'B', 'D', 'G', 'F', 'U', 'C'), 600856356.0] 
[('A', 'S', 'T', 'E', 'F', 'D', 'C', 'U', 'G', 'B'), 600850149.4000001] 
[('T', 'A', 'E', 'S', 'D', 'U', 'B', 'F', 'G', 'C'), 600827974.0499995] 
[('E', 'S', 'A', 'T', 'C', 'B', 'U', 'D', 'F', 'G'), 600800898.0999997] 
[('E', 'A', 'S', 'T', 'F', 'U', 'D', 'C', 'B', 'G'), 600765483.0499998] 
[('E', 'S', 'T', 'A', 'C', 'D', 'B', 'F', 'U', 'G'), 600747231.4999996] 
[('E', 'A', 'S', 'T', 'D', 'G', 'F', 'U', 'C', 'B'), 600711404.4500004] 
[('E', 'T', 'A', 'S', 'C', 'U', 'F', 'B', 'D', 'G'), 600698902.1499999] 
[('A', 'T', 'E', 'S', 'F', 'U', 'B', 'C', 'G', 'D'), 600682887.8999997] 
[('E', 'S', 'A', 'T', 'D', 'F', 'C', 'U', 'B', 'G'), 600668320.6499997] 
[('E', 'S', 'A', 'T', 'B', 'F', 'U', 'D', 'C', 'G'), 600667031.2000002] 
[('E', 'T', 'A', 'S', 'B', 'D', 'U', 'C', 'F', 'G'), 600663549.0500003] 
[('T', 'A', 'E', 'S', 'U', 'G', 'B', 'D', 'C', 'F'), 600659629.25] 
[('A', 'S', 'T', 'E', 'G', 'D', 'C', 'B', 'U', 'F'), 600645637.2499999] 
[('A', 'T', 'S', 'E', 'C', 'D', 'G', 'U', 'F', 'B'), 600645395.8000004] 
[('E', 'S', 'A', 'T', 'F', 'U', 'B', 'C', 'D', 'G'), 600639184.5499998] 
[('S', 'E', 'A', 'T', 'U', 'C', 'F', 'B', 'D', 'G'), 600626099.7499999] 
[('A', 'T', 'E', 'S', 'C', 'D', 'U', 'B', 'F', 'G'), 600594579.6000001] 
[('E', 'A', 'T', 'S', 'U', 'D', 'G', 'C', 'F', 'B'), 600566205.6000004] 
[('E', 'A', 'S', 'T', 'G', 'D', 'F', 'B', 'U', 'C'), 600556739.8000002] 
[('A', 'T', 'E', 'S', 'B', 'D', 'U', 'C', 'F', 'G'), 600515399.9499999] 
[('A', 'T', 'E', 'S', 'D', 'B', 'G', 'U', 'C', 'F'), 600507814.5500001] 
[('E', 'A', 'S', 'T', 'U', 'B', 'C', 'F', 'G', 'D'), 600494575.9999999] 
[('A', 'T', 'E', 'S', 'F', 'U', 'G', 'B', 'C', 'D'), 600484637.9999998] 
[('S', 'A', 'T', 'E', 'C', 'D', 'B', 'U', 'G', 'F'), 600461208.5] 
[('T', 'A', 'E', 'S', 'D', 'U', 'B', 'G', 'F', 'C'), 600450486.3499997] 
[('A', 'E', 'S', 'T', 'B', 'D', 'G', 'U', 'F', 'C'), 600449510.8000001] 
[('A', 'E', 'S', 'T', 'B', 'D', 'F', 'U', 'G', 'C'), 600425332.8000002] 
[('S', 'E', 'A', 'T', 'U', 'C', 'G', 'D', 'F', 'B'), 600424093.7499999] 
[('A', 'E', 'S', 'T', 'U', 'G', 'B', 'F', 'D', 'C'), 600422070.2499996] 
[('A', 'S', 'E', 'T', 'C', 'U', 'G', 'D', 'B', 'F'), 600411895.4499999] 
[('T', 'E', 'S', 'A', 'U', 'C', 'F', 'D', 'G', 'B'), 600396482.6999999] 
[('E', 'S', 'A', 'T', 'D', 'G', 'U', 'F', 'B', 'C'), 600343798.3499993] 
[('A', 'T', 'E', 'S', 'G', 'B', 'U', 'C', 'D', 'F'), 600304983.7000002] 
[('A', 'T', 'E', 'S', 'D', 'C', 'G', 'B', 'U', 'F'), 600269598.6999998] 
[('E', 'A', 'S', 'T', 'D', 'B', 'C', 'U', 'G', 'F'), 600266058.2500001] 
[('E', 'S', 'A', 'T', 'D', 'F', 'B', 'U', 'G', 'C'), 600261260.1499999] 
[('T', 'A', 'E', 'S', 'U', 'B', 'F', 'D', 'G', 'C'), 600233557.6500002] 
[('S', 'E', 'A', 'T', 'G', 'D', 'U', 'C', 'F', 'B'), 600232191.6000005] 
[('E', 'S', 'A', 'T', 'G', 'D', 'F', 'C', 'U', 'B'), 600205838.0000007] 
[('E', 'S', 'A', 'T', 'C', 'D', 'B', 'G', 'U', 'F'), 600185866.8999997] 
[('A', 'T', 'E', 'S', 'B', 'F', 'U', 'G', 'C', 'D'), 600152431.1500003] 
[('E', 'A', 'S', 'T', 'C', 'D', 'B', 'F', 'U', 'G'), 600119814.8999997] 
[('S', 'E', 'A', 'T', 'U', 'D', 'B', 'G', 'F', 'C'), 600090297.8999997] 
[('E', 'A', 'S', 'T', 'C', 'D', 'B', 'G', 'U', 'F'), 600082499.0999998] 
[('A', 'T', 'E', 'S', 'D', 'C', 'G', 'F', 'U', 'B'), 600075356.7999995] 
[('E', 'A', 'S', 'T', 'U', 'B', 'D', 'F', 'G', 'C'), 600057277.6999998] 
[('E', 'S', 'A', 'T', 'C', 'D', 'B', 'F', 'U', 'G'), 600021462.6999997] 
[('T', 'E', 'A', 'S', 'F', 'D', 'U', 'C', 'B', 'G'), 600003681.45] 
[('A', 'E', 'S', 'T', 'C', 'D', 'B', 'F', 'G', 'U'), 599980620.4499999] 
[('E', 'A', 'S', 'T', 'B', 'D', 'U', 'F', 'C', 'G'), 599977161.0000002] 
[('E', 'S', 'A', 'T', 'D', 'F', 'G', 'U', 'B', 'C'), 599947108.0499997] 
[('E', 'S', 'T', 'A', 'C', 'D', 'G', 'B', 'U', 'F'), 599945541.9999999] 
[('A', 'S', 'E', 'T', 'C', 'U', 'G', 'D', 'F', 'B'), 599942644.4499997] 
[('A', 'T', 'E', 'S', 'C', 'D', 'U', 'G', 'F', 'B'), 599930725.9] 
[('A', 'T', 'E', 'S', 'D', 'F', 'G', 'U', 'C', 'B'), 599924289.0500001] 
[('E', 'S', 'T', 'A', 'C', 'D', 'B', 'G', 'U', 'F'), 599922614.4999998] 
[('A', 'E', 'S', 'T', 'B', 'D', 'C', 'G', 'F', 'U'), 599872670.7000002] 
[('E', 'A', 'S', 'T', 'G', 'D', 'B', 'C', 'U', 'F'), 599867391.4] 
[('S', 'E', 'A', 'T', 'U', 'C', 'G', 'D', 'B', 'F'), 599859302.95] 
[('T', 'E', 'A', 'S', 'U', 'D', 'C', 'B', 'F', 'G'), 599857222.8000002] 
[('T', 'A', 'E', 'S', 'U', 'C', 'B', 'D', 'F', 'G'), 599855859.5499996] 
[('S', 'E', 'A', 'T', 'U', 'F', 'C', 'D', 'G', 'B'), 599822926.35] 
[('A', 'S', 'T', 'E', 'C', 'B', 'D', 'U', 'G', 'F'), 599814735.5] 
[('E', 'S', 'A', 'T', 'U', 'D', 'F', 'G', 'C', 'B'), 599784043.6000001] 
[('E', 'T', 'A', 'S', 'C', 'D', 'U', 'B', 'G', 'F'), 599762673.5500003] 
[('T', 'E', 'S', 'A', 'U', 'D', 'G', 'F', 'B', 'C'), 599760186.2500001] 
[('T', 'E', 'S', 'A', 'U', 'C', 'B', 'D', 'F', 'G'), 599750508.1999998] 
[('A', 'E', 'S', 'T', 'U', 'G', 'B', 'C', 'F', 'D'), 599731518.6499999] 
[('A', 'T', 'E', 'S', 'D', 'B', 'G', 'C', 'F', 'U'), 599731275.65] 
[('T', 'E', 'S', 'A', 'U', 'C', 'F', 'D', 'B', 'G'), 599666535.5999999] 
[('E', 'A', 'S', 'T', 'F', 'C', 'B', 'G', 'D', 'U'), 599640810.9499997] 
[('A', 'T', 'E', 'S', 'C', 'G', 'U', 'B', 'F', 'D'), 599635459.55] 
[('E', 'A', 'S', 'T', 'D', 'G', 'U', 'C', 'B', 'F'), 599632088.8499998] 
[('E', 'T', 'A', 'S', 'D', 'U', 'C', 'B', 'G', 'F'), 599626995.8500004] 
[('A', 'T', 'E', 'S', 'D', 'G', 'B', 'U', 'C', 'F'), 599609784.9999998] 
[('A', 'S', 'T', 'E', 'D', 'C', 'U', 'G', 'F', 'B'), 599577371.3999996] 
[('T', 'E', 'S', 'A', 'U', 'D', 'F', 'B', 'C', 'G'), 599570564.8500004] 
[('A', 'E', 'S', 'T', 'U', 'G', 'C', 'B', 'F', 'D'), 599557500.35] 
[('A', 'T', 'E', 'S', 'C', 'B', 'F', 'D', 'U', 'G'), 599536888.9999998] 
[('E', 'A', 'S', 'T', 'D', 'B', 'C', 'U', 'F', 'G'), 599524277.3500001] 
[('E', 'S', 'A', 'T', 'C', 'F', 'B', 'D', 'U', 'G'), 599520447.9999996] 
[('A', 'T', 'E', 'S', 'D', 'F', 'G', 'C', 'B', 'U'), 599403149.1500001] 
[('A', 'S', 'T', 'E', 'C', 'D', 'U', 'G', 'B', 'F'), 599368098.6999995] 
[('A', 'S', 'T', 'E', 'D', 'C', 'U', 'B', 'F', 'G'), 599367962.8] 
[('E', 'A', 'S', 'T', 'G', 'C', 'D', 'U', 'F', 'B'), 599344904.1000004] 
[('A', 'S', 'T', 'E', 'D', 'G', 'C', 'U', 'B', 'F'), 599340528.1] 
[('E', 'S', 'T', 'A', 'C', 'D', 'B', 'F', 'G', 'U'), 599314289.8999995] 
[('A', 'E', 'T', 'S', 'U', 'D', 'B', 'F', 'C', 'G'), 599311272.4] 
[('T', 'A', 'E', 'S', 'U', 'F', 'G', 'C', 'D', 'B'), 599296638.3500001] 
[('A', 'T', 'E', 'S', 'F', 'U', 'B', 'G', 'D', 'C'), 599270983.4999998] 
[('E', 'S', 'A', 'T', 'C', 'F', 'B', 'D', 'G', 'U'), 599267726.5999997] 
[('E', 'T', 'A', 'S', 'D', 'B', 'U', 'C', 'G', 'F'), 599263534.7499999] 
[('A', 'T', 'E', 'S', 'D', 'C', 'F', 'G', 'U', 'B'), 599242454.9999995] 
[('A', 'S', 'T', 'E', 'C', 'D', 'U', 'F', 'G', 'B'), 599237235.9999993] 
[('E', 'A', 'S', 'T', 'F', 'C', 'G', 'B', 'D', 'U'), 599208031.45] 
[('E', 'S', 'A', 'T', 'G', 'U', 'B', 'D', 'C', 'F'), 599204193.2000003] 
[('T', 'E', 'S', 'A', 'U', 'C', 'D', 'F', 'G', 'B'), 599173190.3999997] 
[('T', 'A', 'E', 'S', 'U', 'B', 'F', 'C', 'D', 'G'), 599149875.65] 
[('A', 'E', 'S', 'T', 'F', 'C', 'D', 'G', 'U', 'B'), 599121709.9] 
[('T', 'A', 'E', 'S', 'C', 'U', 'B', 'D', 'F', 'G'), 599110000.2999995] 
[('A', 'E', 'S', 'T', 'F', 'C', 'D', 'B', 'U', 'G'), 599078739.4000002] 
[('E', 'A', 'S', 'T', 'D', 'F', 'C', 'G', 'U', 'B'), 599071752.4500002] 
[('E', 'A', 'S', 'T', 'C', 'U', 'F', 'D', 'G', 'B'), 599061195.9] 
